Title,Summary,Source,Source,Topic,Business line
Embraer Announces Senior Management Shuffle,"Embraer has just announced two new senior management appointments. The company has looked outside the business and made an external appointment to the Chief Financial Officer’s position and looked internally to fill the Chief Operations Officer role. Both new appointments will come into force on January 1, 2020.",Simple Flying,,Self-awareness,Generic
Azul moves forward with fleet modernization,"Azul Linhas Aéreas Brasileiras, a Brazilian airline, reports that its fleet modernization program is moving forward. The carrier added five new aircraft in the third quarter of 2019, and expects 12 aircraft to be delivered by the end of the year. It has also reported a step forward in previously announced plan to remarket its entire Embraer E190/195 fleet. ",AeroTime News Hub  ,,Self-awareness,Commercial
Fast 5: MTU Aims to Surpass 1000 Commercial Shop Visits in 2020,"With capacity in the engine segment tight, Martin Friis-Petersen, SVP MRO programs at MTU Maintenance, details how the company has navigated this and how it is looking to increase volumes.",MRO Network,,Expansion,Generic
Kaman Receives Boeing Award for the A-10 Re-wing Program,This new work package is for the manufacture of wing control surfaces and structural assemblies in support of the U.S Air Force (USAF) A-10 Thunderbolt Advanced Wing Continuation Kitting (ATTACK) program.,Business Wire ,,Gov. Contract.,Military
John Deere and Volocopter Cooperate on Heavy-Lift Utility Drone for Agriculture,"This first large agricultural drone is the result of a collaboration between John Deere, who bring knowledge of farmers’ needs, and the Urban Air Mobility pioneer Volocopter, whose flying taxis form the technological basis of the VoloDrone.",AgAir Update ,,VTOL,Agriculture
India Wants to Make Russia's Su-30MKI Air Superiority Fighter Great Again,"Indications in recent months suggest that the upgrade program for India’s fleet of Su-30MKI fighters is finally gathering pace. The Indian Air Force (IAF) has so far placed orders for 272 aircraft, of which 50 were delivered by Russia in 2002-2004 and 2007.",The National Interest Online ,,Gov. Contract.,Military
EU Stops the Clock on Review of Boeing Deal With Embraer,"The European Commission has been investigating the venture, warning that the deal could remove Embraer as the third-largest global competitor to both Boeing and Airbus SE, which “may therefore result in higher prices and less choice.” The commission, one of the world’s toughest merger regulators, said Monday that it “stopped the clock” and a review can only be restarted once it gets the answers it needs.",Bloomberg,,Regulation,Generic
Singapore Airlines Could Roll Out New Business Class On The Boeing 777X,"Stop the press. Singapore Airlines could be bringing us a new business class for their Boeing 777X fleet! The airline, which has already won numerous awards for its business class concepts, might be able to change what we consider business class yet again.",Simple Flying,,Aircraft sales,Commercial
"KC-390, la hora de la verdad","Embraer ya ha entregado a la Fuerza Aérea de Brasil (FAB) el primer avión de transporte multimisión KC-390 en una ceremonia celebrada en la Base Aérea de Anápolis, en Goiás, pues las primeras unidadesestarán basadas en el Ala 2, que ahí ubica su sede. Mientras comienza a usarlo regularmente, empieza también la cuenta atrás respecto a eventual éxito comercial de la novedosa aeronave en el extranjero.",Defensa.com,,Aircraft sales,Military
MRO Down Under,"Despite a tough year for regional business aviation in 2018 and a stuttering recovery in 2019, Dubai’s dominance as a Middle East business aviation hub continues, with Al Maktoum International Airport (DWC) continuing to demonstrate its primacy as a bizav and FBO center for the Gulf Cooperation Council (GCC).",MRO Magazine,,Expansion,Generic
Hub Dubai Holds Its Own as Saudis Sit Back,"Despite a tough year for regional business aviation in 2018 and a stuttering recovery in 2019, Dubai's dominance as a Middle East business aviation hubÂ ",Market Research Base,,Expansion,Generic
Airbus Sells A Staggering 415 Aircraft In October,"Airbus has won the month of October, reporting a huge amount of new aircraft added to their order book, totaling 415 for the start of autumn! This brings Airbus up to a total of 718 for the year.",Simple Flying,,Aircraft sales,Commercial
Boeing Loses Huge Aircraft Order to Airbus,"Boeing (BA) has reportedly lost a huge aircraft order to Airbus. According to Reuters, General Electric (GE) aircraft leasing subsidiary GECAS (GE Capital Aviation Services) has ordered 25 Airbus planes. Reuters reported that GE and Airbus have both declined to comment on the matter.",Market Realist,,Aircraft sales,Commercial
Lockheed appoints new lead for FVL work,Lockheed Martin has appointed Andrew Adams to lead the company’s pitch for the US Army’s Future Vertical Lift (FVL) requirements. ,Shephard Media,,Team,Military
Dynamic Aviation Adds Retired USAF Lt. Gen. Bradley Heithold to ,"Dynamic Aviation, provider of special-mission aviation solutions, welcomes retired Lt. Gen. Bradley Heithold, U.S. Air Force, to its board of directors",BusinessWire,,Team,Military
Azul Proposes Joint Venture With TAP Portugal,Brazilian low-cost carrier Azul has proposed a joint venture with Portuguese national flag carrier TAP Air Portugal. As the Brazilian airline looks to gain a larger transatlantic presence in the travel market a proposal for a joint venture was put before shareholders last Thursday.,Simple Flying,,Deal,Commercial
MagniX CEO Ganzarski Becomes Chairman Of Electric Startup Eviation,"Former Boeing executive Roei Ganzarski, CEO of electric motor developer MagniX, has also become chairman of electric aircraft startup Eviation Aircraft.",Aviation Week,,Team,Generic
IAF to sign contract this fiscal to procure 83 LCAs,"The Light Combat Aircraft Tejas (LCA) Mark-1A and Mark-2 and 114 new fighter jets to be procured will be the mainstay of the Indian Air Force (IAF) in the next decade, as other jets are phased out, and before the indigenous fifth-generation Advanced Medium Combat Aircraft (AMCA) is ready, IAF sources said.",The Hindu,,Gov. Contract.,Military
Rolls Facing More Delays in Engine Revisions,"Despite progress developing a new Trent 1000 HPT blade, replacing damaged and defective components will cost another $1 billion",American Machinist,,Reliability issues,Commercial
Building the world's first flying taxi,Germany based Lillium is one of the most promising and secretive startups in the race,Gulf News,,VTOL,Other
Airbus CIO Luc Hennekens' plan to disrupt aviation with data,"Airbus CIO Luc Hennekens has ambitious plans to disrupt the aerospace industry but his company faces a series of unique challenges. Airbus plans to ramp up production rates of existing aircraft from the 23,000 that were delivered in the last 50 years to 39,000 in the next 20.",CIO UK,,AI,Generic
KLM vai aposentar todos os aviões da Airbus e operar somente com Boeing,"A companhia holandesa KLM, que recentemente completou 100 anos de operações, irá padronizar sua frota com jatos Boeing, divulgou o seu CEO enquanto falou da aposentadoria do Airbus.",AEROIN,,Market,Commercial
NASA unveils its first electric airplane - a work in progress,"NASA, most prominent for its many Florida-launched exploits into space, showcased an early version of its first all-electric experimental aircraft, the X-57 “Maxwell,” on Friday at its lesser-known aeronautics lab in the California desert.",Reuters,,New aircraft,Generic
PHL Air Force acquires C-295M aircraft from Spain,"The Philippine Air Force formally accepted a C-295M #177 aircraft from Spain’s Airbus Defense and Space division as part of the Armed Forces of the Philippines’ (AFP) Modernization Program, according to a statement from the Air Force Public Affairs Office.",GMA News,,Deal,Military
Dassault Rafale: What Makes This Fighter Jet So Special For the ,"Defence Minister Rajnath Singh received the first of 36 Rafale fighter jets and flew a sortie in the MMRCA fighter jet from a French airbase in Paris to gain first-hand experience of the aircraft. Rafale is handed over to Singh on the foundation day of the Indian Air Force. The first Rafale bears a tail number ‘RB 01', where 'RB' stands for Air Chief Marshal R.K.S. Bhadauria, who played an important role in negotiations for procuring 36 Rafale jets in the flyaway condition.",News18,,Aircraft sales,Military
Boeing Seeks Blessing to Deliver 737 MAX as FAA Reviews Pilot ,"Boeing Co. hopes to deliver 737 MAX aircraft to airlines before the end of the year even if regulators haven’t approved related pilot training, people familiar with the matter said.",Wall Street Journal,,Aircraft sales,Commercial
FAA Announces Results of International Aviation Safety Assessment ,The U.S. Department of Transportation’s Federal Aviation Administration (FAA) has found that the Civil Aviation Authority of Malaysia (CAAM) does not meet International Civil Aviation Organization (ICAO) safety standards and therefore has received a Category 2 rating based on a reassessment of the country’s civil aviation authority.,AviationPros.com,,Regulation,Generic
